Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,4,27,4,21,0.0056,0,8.69,8.86,Medium,682.858,501140.7721,675497,603752.9731,349036.4266,132237.7475,48197.9838,15598.3061,8527.9997,6023.5035,4508.4378,4570.2772,4559.9707,2684.1751,2436.8174,7085.0801,2323.4452,1725.6642,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,4,27,4,21,4.6374,0,8.69,8.86,Medium,682.858,72159.208,94057.0527,110739.5763,104300.7075,157583.9725,213733.0218,266435,257939.2704,208257.5444,130202.5205,87061.2868,40989.2297,15595.5346,7136.3894,4912.8659,1490.1844,941.4172,1173.1189,2839.7453,1790.9902,1372.3011,1030.8459,2205.6143,1762.5356,1169.054,917.0276,1969.8476,1254.4178,620.2868,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,4,27,4,21,6.5852,0,8.69,8.86,Medium,682.858,21370.5251,27611.5358,29887.0478,30940.9934,45195.664,68534.0133,104416.3809,133130.0819,148705.0547,150480,128673.2012,87126.1634,45682.4537,22357.8814,9754.1625,3689.9574,1669.3211,1012.6143,2006.8592,608.4871,916.1749,702.6304,1781.8338,1451.1843,991.9487,1086.092,1334.0792,1017.2067,583.2291,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,4,27,4,21,7.7206,0,8.69,8.86,Medium,682.858,11069.0815,13489.7789,14126.8045,12351.4058,19337.1778,28753.575,44119.957,68025.7917,95348.4003,108443,101352.9874,88662.1131,55996.7622,34887.2218,17725.5857,7471.9549,3160.0359,1311.8343,1591.4637,792.2861,458.0545,489.4921,1783.3987,1134.7908,489.4921,535.8212,1381.328,1129.827,438.1991,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,4,27,4,21,0.0306,0,8.65,8.95,Medium,682.858,50018.4895,73532,63691.5095,30154.6331,14585.5433,4877.4411,4206.5241,1862.8022,812.6712,855.3047,1155.9832,2141.042,1465.6372,893.4505,5013.1952,857.5485,544.5287,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,4,27,4,21,4.8089,0,8.65,8.95,Medium,682.858,52007.2756,53532.7082,76871.0528,158415.8791,270275.7749,430910.7976,507678,484308.6822,382615.756,247572.382,149193.5937,68887.6973,31557.1866,13592.7011,10317.2798,3727.7207,3673.5175,4122.6296,6151.3776,4718.8647,3294.0952,2450.0741,7266.4146,4308.4691,2790.7798,3309.5818,9101.5797,4354.929,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,4,27,4,21,6.3729,0,8.65,8.95,Medium,682.858,29707.2966,33119.5261,39066.3611,47300.4403,79115.1603,112044.7,166823.352,191935.5993,222134,202670.3988,176904.1691,114514.9238,71369.0265,32346.9458,16773.3541,7390.57,3226.0913,2311.1936,3941.0669,2670.3756,1958.7886,2057.0553,3483.618,2263.7545,1606.3835,1596.218,4025.7796,2402.6834,2297.6396,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,4,27,4,21,8.353,0,8.65,8.95,Medium,682.858,16056.0059,17282.0463,18495.4036,14303.6136,12399.0232,19816.5678,39887.6953,60563.3876,99984.8154,124790.9956,138622,120102.4478,94435.9254,57456.0092,34985.6475,13937.9153,6774.0342,2774.6058,3928.7749,2186.9519,1525.3129,2108.739,2926.8039,1977.6795,1335.0652,1580.2733,2442.7293,2301.1005,1231.4859,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,4,27,4,21,0.0075,0,8.73,8.9,Medium,682.858,72498.8288,126163,103139.0476,45032.5355,16823.2858,5347.88,3446.2193,1404.0513,516.738,460.92,980.6046,1109.5634,657.2453,982.5294,3213.3236,1096.0901,595.6531,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,4,27,4,21,5.3079,0,8.73,8.9,Medium,682.858,23274.1879,20804.995,30201.6459,50526.762,102212.1527,177869.2916,244876.6342,249735,206752.7523,161343.2271,98778.9075,46327.6098,20538.2612,9224.9373,7856.9739,3322.4992,1120.0401,3440.6242,5147.7205,3231.0476,2347.0156,2484.193,4938.144,3002.4186,1981.2092,1093.3667,5041.027,4579.9586,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,4,27,4,21,6.6706,0,8.73,8.9,Medium,682.858,8258.0706,9445.1474,14932.9764,13192.6988,26039.2513,42089.7585,79156.1346,101216.9382,125892,113329.7313,94488.2491,57748.4152,30820.2126,17209.1673,10344.0987,3260.0548,1320.0103,1195.1559,2860.5209,2117.1573,981.9431,1187.4726,2259.2992,1859.7653,997.3098,1051.0932,2752.9541,1535.1439,1264.306,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,4,27,4,21,8.3392,0,8.73,8.9,Medium,682.858,6003.332,6959.341,7484.939,5055.6001,6621.358,9387.3004,22215.4791,38947.7062,57296.7336,73692.3572,90437,74455.2331,55936.5245,29862.1717,15960.7246,6600.6652,2878.7137,1678.5293,1714.3968,1043.949,813.5687,762.5264,2153.085,1253.6364,853.5749,849.4363,1874.4214,1184.6602,828.7435,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,4,27,4,21,0.0577,0,8.72,8.92,Medium,682.858,98861.4571,160498,136224.8771,57545.9721,21262.3914,8713.2383,5924.2655,2417.8485,958.4738,566.6954,1529.0011,2185.23,1306.1772,978.0627,5006.0348,1881.6017,987.8572,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,4,27,4,21,5.0921,0,8.72,8.92,Medium,682.858,30495.5361,27250.7442,38738.1785,70462.0079,159541.3448,257238.9795,356902,332386.3996,277851.03,180414.7207,112301.3126,43567.2564,23831.7353,8658.5222,7760.2158,4232.3212,2130.8285,3579.0074,5778.4972,5718.6101,4433.7597,3399.3461,5054.4078,3257.7948,2773.2537,3263.2391,7629.553,3758.6687,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,4,27,4,21,6.7538,0,8.72,8.92,Medium,682.858,18822.6869,20581.5691,20713.7394,23014.8589,41250.9763,71667.0986,137443.8694,191654.0413,222182,218864.1857,171679.3755,105797.5463,57826.4921,29206.5308,15637.0429,7466.2049,2894.4669,2240.3932,4497.4558,2880.911,1826.9373,1894.7169,3684.0999,1799.8254,2203.1144,1833.7152,4758.4075,2897.8559,2562.3466,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,4,27,4,21,8.2641,0,8.72,8.92,Medium,682.858,11456.3025,11735.9404,13664.5542,12754.6213,11234.3677,17071.2541,36794.6036,60415.1291,100973.7218,134872.0499,145465,112321.2504,83534.0818,48839.0076,25637.939,11409.6962,4412.0906,2088.4327,2627.7344,1791.0401,2174.9873,2046.2651,2270.4193,2159.4519,1262.8351,1027.5842,2292.6128,2119.5036,1227.3256,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,4,27,4,21,0.0043,0,8.72,8.88,Medium,682.858,129947.1683,193655,158768.2924,77368.9291,25942.9439,7565.9689,4115.1157,2082.4213,676.0805,537.2191,936.0763,1482.6583,1187.2086,1045.3927,6041.4481,1346.7514,563.8096,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,4,27,4,21,5.1174,0,8.72,8.88,Medium,682.858,30403.6908,25656.8671,28895.7014,36282.1256,77034.9815,115111.0943,162302,151000.7463,128660.7131,93058.2972,49467.747,21997.0834,10594.3065,4255.3035,5287.8677,2405.6023,1509.2276,2361.0312,4980.8222,3200.4538,2264.4604,1761.7973,4059.6859,2081.2236,2390.7453,2006.9384,4408.8263,1717.2262,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,4,27,4,21,6.605,0,8.72,8.88,Medium,682.858,15372.3459,15204.6224,17052.3534,15024.4236,19239.6899,33252.2278,58093.3289,75496.377,87453.2621,90841,65733.7591,43680.1952,21503.2644,9558.8546,6675.6734,2715.4577,1261.3918,1136.6387,2740.4083,1214.2629,1297.4315,1286.3424,2571.2986,1121.3911,1046.5393,1619.0171,2277.4359,1535.8484,1150.5002,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,4,27,4,21,8.2513,0,8.72,8.88,Medium,682.858,9666.5675,9321.3916,8869.8736,6849.3741,6438.824,7173.6303,17249.9779,27762.1537,40721.9406,55092.9391,57130,51185.3036,33728.6415,21944.7191,10810.1807,4596.1424,2817.0918,1215.859,1642.099,1119.9768,1162.688,1358.8107,1671.7353,1269.0301,651.0257,662.3572,1865.243,968.3086,610.9295,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,4,27,4,21,0.0023,0,8.72,8.9,Medium,682.858,113336.5967,173831,130127.7786,63039.9655,22423.9239,8444.0914,3948.5847,1399.8047,659.8364,490.0945,1291.0639,2341.3415,1375.9348,994.0156,5415.2603,1137.2353,964.8412,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,4,27,4,21,4.6207,0,8.72,8.9,Medium,682.858,25845.4063,23617.7569,29691.8141,42174.076,86957.2534,143252.4276,161284.0114,162232,116129.5592,76177.9057,51163.8787,21496.5397,10741.9437,4373.3417,4464.9229,2561.5203,1366.0151,2593.6974,4841.1481,4323.8384,2158.0682,2469.9391,2719.9309,2133.3165,1836.2966,3158.0352,6073.7807,2219.9474,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,4,27,4,21,5.6186,0,8.72,8.9,Medium,682.858,17623.1558,16374.4673,20080.3964,19726.6013,32922.5628,54713.6635,82449.4132,93408.1412,97453,82771.9911,58761.4953,37272.1611,19221.1798,8907.6075,4651.6609,2090.3629,1237.0925,1125.6024,2734.0321,1934.2769,1635.4836,1293.5808,2048.74,1387.2324,932.353,1012.6258,2490.2406,1507.6416,1403.5843,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,4,27,4,21,7.0833,0,8.72,8.9,Medium,682.858,8038.0298,9355.9891,9595.9189,9370.0539,13372.745,19559.6247,32887.3119,41920.2555,51307.3024,54227,52979.365,38806.1321,23635.9494,12224.3913,6966.6191,2919.2515,1640.1774,1099.9216,1778.3439,1229.8147,1017.1872,965.8919,1697.2641,1062.6912,674.6667,582.8315,1357.2257,936.9348,663.0839,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,4,27,4,21,0.0792,0,8.73,8.92,Medium,682.858,50665.9277,80275,69972.1452,28577.0087,11258.6103,3667.4198,2936.2258,1450.5668,367.8607,508.7105,1504.4572,2278.5185,1399.126,1025.5679,4692.5612,1228.8815,404.6042,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,4,27,4,21,4.7677,0,8.73,8.92,Medium,682.858,16154.8049,14298.7528,20785.0867,28689.596,46416.7876,90607.4944,99312,92516.5766,81996.9277,50986.4636,29310.8053,11121.4946,8371.5072,3333.6515,3574.5595,2727.5937,2589.7155,3020.0166,5194.249,3936.679,2144.263,2738.1997,3829.1038,2292.7472,2642.7456,2868.5021,4827.584,2382.1407,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,4,27,4,21,6.2324,0,8.73,8.92,Medium,682.858,7450.3342,7980.7684,8756.7469,10036.2006,16933.3014,24886.8987,39054.8814,42794.1505,47783,44354.1223,34747.2901,19659.0624,10998.7053,5147.1718,3579.1852,1995.1691,1133.9422,1579.8566,2675.6986,2519.7742,1855.2744,1557.2695,2483.3433,1281.1231,860.7104,1338.684,2430.8828,1259.2646,1697.8928,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,4,27,4,21,6.8239,0,8.73,8.92,Medium,682.858,2689.8513,3891.1105,4434.1499,3677.0182,7066.0526,9230.076,15955.1098,17103.9846,19146.9711,21338,20822.9423,14575.8743,9610.106,5107.0111,3993.9268,1877.0818,809.8743,969.9554,2136.0748,1717.9768,1371.1343,1366.9046,2131.845,1006.0713,673.8705,1103.031,1067.8912,783.8449,745.1261,NaN,NaN
PROTEIN,apo_PROTEIN,0s,ELN66236_02_10_PROTEIN-ECD_apo_0_20220610_182354,5,13,2,6,0.0713,0,4.14,4.33,Medium,536.8042,1177376,814837.4578,290108.7294,57872.0726,9347.9595,3922.4571,1640.8716,1892.385,2107.9678,2090.0026,4407.5185,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,15s,ELN66236_02_11_PROTEIN-ECD_apo_15_20220610_184553,5,13,2,6,2.7652,0,4.14,4.33,Medium,536.8042,47009.0356,178020.7469,369768.5127,574642,541946.0643,304157.4408,113838.8618,33953.4581,8333.3122,3651.1911,2151.8601,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,150s,ELN66236_02_12_PROTEIN-ECD_apo_150_20220610_191541,5,13,2,6,3.1715,0,4.14,4.33,Medium,536.8042,11961.6904,57465.4405,164282.1025,367174.5686,404077,244838.5381,97987.2081,32173.2477,7793.5962,4143.4309,2170.3686,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,apo_PROTEIN,1500s,ELN66236_02_13_PROTEIN-ECD_apo_1500_20220610_195632,5,13,2,6,3.1855,0,4.14,4.33,Medium,536.8042,10587.1724,37136.28,138067.5164,281219,275172.8237,206961.3134,76318.4202,28322.3367,5673.8496,2592.8314,1498.598,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,0s,ELN66236_02_63_mAb_1_PROTEIN_ECD_0_20220613_164825,5,13,2,6,0.0336,0,3.72,3.84,Low,536.8042,439321,252196.4651,111501.1245,33524.7474,7528.1526,3418.8405,1836.7888,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,15s,ELN66236_02_06_mAb_1_PROTEIN_ECD_15_20220610_163142,5,13,2,6,0.313,0,3.72,3.84,Medium,536.8042,725955,565211.382,310177.2481,87189.9261,21467.93,5040.2003,3057.3523,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,150s,ELN66236_02_07_mAb_1_PROTEIN_ECD_150_20220610_165350,5,13,2,6,0.2881,0,3.72,3.84,Medium,536.8042,548731,505216.0079,226927.7113,70509.8612,19032.0525,5919.7805,2143.5132,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_1,1500s,ELN66236_02_09_mAb_1_PROTEIN_ECD_1500_20220610_175621,5,13,2,6,0.1774,0,3.72,3.84,Low,536.8042,527614,445205.258,227847.7732,63207.4085,13235.6362,4943.2364,2584.3304,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,0s,ELN66236_02_65_mAb_2_PROTEIN_ECD_0_20220613_173205,5,13,2,6,0.0122,0,3.7,3.85,Low,536.8042,910501,607125.7069,304542.3349,115273.1639,24563.4511,8099.8258,3403.8719,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,15s,ELN66236_02_16_mAb_2_PROTEIN_ECD_15_20220610_210102,5,13,2,6,0.3918,0,3.7,3.85,Medium,536.8042,1023881,896380.1161,464305.0708,178150.6547,43447.4785,11419.9314,4420.7406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,5,13,2,6,0.2318,0,3.7,3.85,Medium,536.8042,917888,789887.4742,486630.2923,143147.9754,33593.3071,9419.0093,4068.7302,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,5,13,2,6,0.2671,0,3.7,3.85,Medium,536.8042,905308,793318.5811,539888.474,193366.3854,39285.9638,8701.9533,3728.9435,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,5,13,2,6,0.1886,0,3.69,3.96,Medium,536.8042,1238454,1023005.631,536002.7451,166786.867,35998.5012,14153.1969,5158.0716,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,5,13,2,6,0.2681,0,3.69,3.96,Medium,536.8042,1164732,853698.4792,408775.886,141264.3108,44250.7129,19868.4714,7624.0367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,5,13,2,6,0.3216,0,3.69,3.96,Medium,536.8042,1264999,898028.671,597669.6721,164454.7518,44087.2486,20828.2939,8764.5208,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,5,13,2,6,0.2431,0,3.69,3.96,Medium,536.8042,1286827,856687.9773,616240.5188,210134.4611,42630.1929,16496.3069,7955.1797,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,5,13,2,6,0.1296,0,3.72,3.89,Medium,536.8042,944218,779926.5827,432253.4975,117631.7593,26373.1575,10510.2398,3623.3418,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,5,13,2,6,0.2992,0,3.72,3.89,Low,536.8042,747603,489903.2705,211167.7597,82123.9642,24275.5655,11943.852,5373.0222,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,5,13,2,6,0.24,0,3.72,3.89,Medium,536.8042,884974,585769.4693,327873.178,87801.9524,22821.4856,9493.1979,4523.7856,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,5,13,2,6,0.2126,0,3.72,3.89,Medium,536.8042,907201,585863.4428,396297.4018,114730.7834,23893.0179,10742.1679,4208.272,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,0s,ELN66236_02_66_mAb_5_PROTEIN_ECD_0_20220613_175352,5,13,2,6,0.1131,0,3.69,3.92,Medium,536.8042,968952,593733.2262,345060.9684,116304.3734,24015.1628,9392.6012,6450.3467,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,15s,ELN66236_02_51_mAb_5_PROTEIN_ECD_15_20220611_203241,5,13,2,6,0.2861,0,3.69,3.92,Medium,536.8042,930338,656568.9816,334917.0024,99619.0258,29476.8054,12143.5427,5939.9098,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,150s,ELN66236_02_54_mAb_5_PROTEIN_ECD_150_20220611_214542,5,13,2,6,0.0959,0,3.69,3.92,Low,536.8042,814444,488878.0693,293478.8583,83862.4689,25987.1191,10353.1938,6562.7747,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_5,1500s,ELN66236_02_57_mAb_5_PROTEIN_ECD_1500_20220611_230941,5,13,2,6,0.1617,0,3.69,3.92,Low,536.8042,695563,473336.1704,250568.0489,70806.0939,16347.8905,8759.1913,4694.1958,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,0s,ELN66236_02_67_mAb_6_PROTEIN_ECD_0_20220613_181538,5,13,2,6,0.1124,0,3.7,3.93,Medium,536.8042,1056358,756241.9372,441377.1663,139068.9458,30960.1089,7442.7699,18645.3406,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,15s,ELN66236_02_52_mAb_6_PROTEIN_ECD_15_20220611_210144,5,13,2,6,0.2627,0,3.7,3.93,Medium,536.8042,1052923,750993.0303,436547.579,122825.1016,31071.6797,10410.6921,6956.4834,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,150s,ELN66236_02_55_mAb_6_PROTEIN_ECD_150_20220611_220720,5,13,2,6,0.1334,0,3.7,3.93,Medium,536.8042,1020225,641827.6737,417252.0441,127666.8603,27568.3369,9712.5039,5587.1371,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_6,1500s,ELN66236_02_58_mAb_6_PROTEIN_ECD_1500_20220611_233054,5,13,2,6,0.1831,0,3.7,3.93,Medium,536.8042,861397,564958.6611,392508.3881,121674.7086,29022.1191,6992.6483,4403.2654,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
