Protein,Protein State,Deut Time,MS File,Start Idx,End Idx,z,maxD,#D left,#D right,Start RT,End RT,Confidence,Theor mono m/z,mono inty,m+1 inty,m+2 inty,...,,,,,,,,,,,,,,,,,,,,,,,,,,,
PROTEIN,mAb_2,150s,ELN66236_02_18_mAb_2_PROTEIN_ECD_150_20220610_214348,1,16,3,13,4.8698,0,5.09,5.39,Medium,682.0378,2585.1412,4717.9063,17957.8246,72547.0261,159447.2198,261784,257550.4213,231561.8396,149686.0252,66228.6096,25126.9508,6371.3983,2960.5717,1578.6677,2253.644,2445.3532,3447.8327,5944.0465,6587.0712,4078.8755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_2,1500s,ELN66236_02_20_mAb_2_PROTEIN_ECD_1500_20220610_224546,1,16,3,13,5.6835,0,5.09,5.39,Medium,682.0378,2039.0142,2743.6822,3751.8996,15603.8739,46571.324,114344.1279,162234.452,177645,150826.9606,83501.3499,31158.0658,14083.4171,4516.1934,1889.9498,1664.9981,1608.0826,1776.1188,3009.2879,3749.1893,4814.3221,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,0s,ELN66236_02_64_mAb_3_PROTEIN_ECD_0_20220613_171016,1,16,3,13,0.0055,0,5.07,5.35,Medium,682.0378,684933,664166.2349,489158.947,179329.6815,35331.4484,6381.3028,1897.6882,2242.5816,1343.7685,988.4237,883.9106,852.5566,873.4592,1145.1935,768.9461,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,15s,ELN66236_02_28_mAb_3_PROTEIN_ECD_15_20220611_023911,1,16,3,13,3.3805,0,5.07,5.35,Medium,682.0378,10325.8521,90534.9261,334801.9767,702730.2179,789886.8482,870614,612797.2218,306653.0817,145065.9377,42247.4163,10923.6342,4454.3035,2820.3658,2275.7198,1638.0856,1438.8249,2182.7315,2089.7432,1863.9144,2049.8911,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,150s,ELN66236_02_30_mAb_3_PROTEIN_ECD_150_20220611_032243,1,16,3,13,4.668,0,5.07,5.35,Medium,682.0378,1890.0776,8277.9982,37566.0112,143716.6445,249954.3249,438860,423452.6571,311396.2105,236073.6548,104485.1703,37057.1202,9643.9686,3523.8854,1387.8826,1401.2745,1213.7884,1381.1867,1803.0305,899.0795,818.7283,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_3,1500s,ELN66236_02_32_mAb_3_PROTEIN_ECD_1500_20220611_042454,1,16,3,13,5.6067,0,5.07,5.35,Medium,682.0378,1582.0231,2929.5065,5726.491,25488.1638,81997.4515,181379.665,278577,241327.7983,226479.9765,127612.1022,48318.8682,16791.1574,5071.8776,2096.3622,1790.3092,872.1502,1237.7135,748.8788,1169.7017,1450.2503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,0s,ELN66236_02_68_mAb_4_PROTEIN_ECD_0_20220613_183721,1,16,3,13,0.023,0,5.01,5.27,High,682.0378,1069341,1051963.291,847232.6656,329964.3504,71012.0093,11617.7736,2480.1989,1272.7336,962.7088,407.9274,391.6103,603.7326,620.0497,522.1471,913.7575,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,15s,ELN66236_02_53_mAb_4_PROTEIN_ECD_15_20220611_212338,1,16,3,13,3.4639,0,5.01,5.27,Medium,682.0378,10169.1662,88971.1786,383450.1846,790324.9123,872307.4878,1037048,788742.5426,429069.9038,214104.9765,76897.6976,19916.5638,4520.1063,1972.4911,817.3612,849.0086,833.1849,975.5981,880.656,1054.7166,1102.1877,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,150s,ELN66236_02_56_mAb_4_PROTEIN_ECD_150_20220611_222847,1,16,3,13,4.7033,0,5.01,5.27,High,682.0378,3277.5173,10751.0301,51647.4847,206270.8885,359879.132,633605,606708.0883,511882.4556,351796.523,159979.5824,51096.3977,17924.829,5307.8377,1846.6248,957.1511,1024.8284,763.7872,667.1053,647.7689,802.46,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
PROTEIN,mAb_4,1500s,ELN66236_02_59_mAb_4_PROTEIN_ECD_1500_20220611_235156,1,16,3,13,5.6814,0,5.01,5.27,High,682.0378,1995.8943,4385.0366,7997.8859,36819.1,117974.1846,278029.2365,381887,380774.0093,345583.6915,197689.9566,76939.2089,26907.0731,7607.4651,2106.6107,1255.8429,894.558,778.0145,579.8905,399.248,469.1741,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
